Years,Primary,Secondary,Third_Level,Total
2009,7279.7,10257.2,10564.6,30110.5
2010,7157.2,9931,9346.7,28444.9
2011,6974.1,9627.2,8814.6,27426.9
2012,6904.4,9616.4,8334.6,26867.1
2013,7049.7,9271.4,7717.6,26051.7
2014,6719.7,9080.8,7277.3,25091.8
2015,6979.6,9155.1,7016.4,25166.1
2016,6863.1,9030.1,6773.7,24682.9
2017,7070.2,9150.1,7091.8,25329.2
2018,7403.9,9595,7257.3,26174.2
2019,7429.9,9816.1,7485.7,26750.7
